ds,preco_real
2025-05-29 23:30:00,4.327
2025-05-30 00:00:00,4.34
2025-05-30 00:30:00,4.198
2025-05-30 01:00:00,4.265
2025-05-30 01:30:00,4.231
2025-05-30 02:00:00,4.289
2025-05-30 02:30:00,4.297
2025-05-30 03:00:00,4.316
2025-05-30 03:30:00,4.273
2025-05-30 04:00:00,4.277
2025-05-30 04:30:00,4.293
2025-05-30 05:00:00,4.319
2025-05-30 05:30:00,4.335
2025-05-30 06:00:00,4.243
2025-05-30 06:30:00,4.202
2025-05-30 07:00:00,4.208
2025-05-30 07:30:00,4.225
2025-05-30 08:00:00,4.217
2025-05-30 08:30:00,4.196
2025-05-30 09:00:00,4.208
2025-05-30 09:30:00,4.209
2025-05-30 10:00:00,4.183
2025-05-30 10:30:00,4.177
2025-05-30 11:00:00,4.155
2025-05-30 11:30:00,4.146
2025-05-30 12:00:00,4.095
2025-05-30 12:30:00,4.127
2025-05-30 13:00:00,4.107
2025-05-30 13:30:00,4.068
2025-05-30 14:00:00,4.067
2025-05-30 14:30:00,4.072
2025-05-30 15:00:00,4.099
2025-05-30 15:30:00,4.067
2025-05-30 16:00:00,4.0
2025-05-30 16:30:00,3.932
2025-05-30 17:00:00,3.943
2025-05-30 17:30:00,3.961
2025-05-30 18:00:00,4.024
2025-05-30 18:30:00,4.007
2025-05-30 19:00:00,4.037
2025-05-30 19:30:00,4.024
2025-05-30 20:00:00,4.006
2025-05-30 20:30:00,4.01
2025-05-30 21:00:00,4.017
2025-05-30 21:30:00,3.99
2025-05-30 22:00:00,3.948
2025-05-30 22:30:00,3.937
2025-05-30 23:00:00,3.942
2025-05-30 23:30:00,3.941
2025-05-31 00:00:00,3.88
2025-05-31 00:30:00,3.883
2025-05-31 01:00:00,3.841
2025-05-31 01:30:00,3.821
2025-05-31 02:00:00,3.858
2025-05-31 02:30:00,3.849
2025-05-31 03:00:00,3.862
2025-05-31 03:30:00,3.874
2025-05-31 04:00:00,3.881
2025-05-31 04:30:00,3.921
2025-05-31 05:00:00,3.91
2025-05-31 05:30:00,3.889
2025-05-31 06:00:00,3.906
2025-05-31 06:30:00,3.913
2025-05-31 07:00:00,3.935
2025-05-31 07:30:00,3.944
2025-05-31 08:00:00,3.939
2025-05-31 08:30:00,3.958
2025-05-31 09:00:00,3.925
2025-05-31 09:30:00,3.951
2025-05-31 10:00:00,3.976
2025-05-31 10:30:00,3.996
2025-05-31 11:00:00,3.976
2025-05-31 11:30:00,3.975
2025-05-31 12:00:00,4.015
2025-05-31 12:30:00,4.045
2025-05-31 13:00:00,4.078
2025-05-31 13:30:00,4.076
2025-05-31 14:00:00,4.124
2025-05-31 14:30:00,4.134
2025-05-31 15:00:00,4.106
2025-05-31 15:30:00,4.034
2025-05-31 16:00:00,4.051
2025-05-31 16:30:00,4.062
2025-05-31 17:00:00,4.036
2025-05-31 17:30:00,3.997
2025-05-31 18:00:00,4.039
2025-05-31 18:30:00,4.039
2025-05-31 19:00:00,4.038
2025-05-31 19:30:00,4.024
2025-05-31 20:00:00,4.049
2025-05-31 20:30:00,4.054
2025-05-31 21:00:00,4.062
2025-05-31 21:30:00,4.056
2025-05-31 22:00:00,4.038
2025-05-31 22:30:00,4.029
2025-05-31 23:00:00,4.025
2025-05-31 23:30:00,3.992
2025-06-01 00:00:00,3.984
2025-06-01 00:30:00,4.002
2025-06-01 01:00:00,3.996
