ds,y,Volume
2025-05-26 21:00:00,4.365,25860.0
2025-05-26 21:30:00,4.355,14912.5
2025-05-26 22:00:00,4.357,33128.3
2025-05-26 22:30:00,4.34,22380.5
2025-05-26 23:00:00,4.346,51806.6
2025-05-26 23:30:00,4.329,49017.0
2025-05-27 00:00:00,4.339,62518.1
2025-05-27 00:30:00,4.328,22600.0
2025-05-27 01:00:00,4.289,123154.7
2025-05-27 01:30:00,4.314,30233.4
2025-05-27 02:00:00,4.334,22830.3
2025-05-27 02:30:00,4.325,20267.0
2025-05-27 03:00:00,4.377,33056.7
2025-05-27 03:30:00,4.364,31798.1
2025-05-27 04:00:00,4.39,14468.9
2025-05-27 04:30:00,4.38,50701.9
2025-05-27 05:00:00,4.368,11410.5
2025-05-27 05:30:00,4.422,29805.4
2025-05-27 06:00:00,4.469,83475.3
2025-05-27 06:30:00,4.416,52606.1
2025-05-27 07:00:00,4.435,15563.8
2025-05-27 07:30:00,4.488,40750.2
2025-05-27 08:00:00,4.524,108665.4
2025-05-27 08:30:00,4.462,58289.8
2025-05-27 09:00:00,4.453,56664.8
2025-05-27 09:30:00,4.485,36918.3
2025-05-27 10:00:00,4.456,35221.6
2025-05-27 10:30:00,4.451,49854.2
2025-05-27 11:00:00,4.462,19480.2
2025-05-27 11:30:00,4.477,21397.8
2025-05-27 12:00:00,4.465,31682.7
2025-05-27 12:30:00,4.455,54402.7
2025-05-27 13:00:00,4.531,147643.5
2025-05-27 13:30:00,4.482,104221.4
2025-05-27 14:00:00,4.504,100158.4
2025-05-27 14:30:00,4.499,76792.4
2025-05-27 15:00:00,4.48,34915.3
2025-05-27 15:30:00,4.533,41131.0
2025-05-27 16:00:00,4.595,236040.1
2025-05-27 16:30:00,4.646,191984.4
2025-05-27 17:00:00,4.636,110323.6
2025-05-27 17:30:00,4.66,59894.3
2025-05-27 18:00:00,4.653,150555.8
2025-05-27 18:30:00,4.611,64885.6
2025-05-27 19:00:00,4.613,37385.5
2025-05-27 19:30:00,4.628,20351.7
2025-05-27 20:00:00,4.608,29806.4
2025-05-27 20:30:00,4.6,50846.0
2025-05-27 21:00:00,4.583,22937.2
2025-05-27 21:30:00,4.583,42395.7
2025-05-27 22:00:00,4.569,28834.6
2025-05-27 22:30:00,4.578,19781.6
2025-05-27 23:00:00,4.548,17105.0
2025-05-27 23:30:00,4.555,45895.9
2025-05-28 00:00:00,4.587,60641.4
2025-05-28 00:30:00,4.591,38404.7
2025-05-28 01:00:00,4.588,47812.7
2025-05-28 01:30:00,4.518,342588.2
2025-05-28 02:00:00,4.464,332052.0
2025-05-28 02:30:00,4.488,64900.6
2025-05-28 03:00:00,4.473,55759.6
2025-05-28 03:30:00,4.493,28710.2
2025-05-28 04:00:00,4.465,48858.7
2025-05-28 04:30:00,4.486,20678.7
2025-05-28 05:00:00,4.48,13755.3
2025-05-28 05:30:00,4.479,8158.0
2025-05-28 06:00:00,4.466,30650.1
2025-05-28 06:30:00,4.472,22657.8
2025-05-28 07:00:00,4.492,20194.1
2025-05-28 07:30:00,4.487,29675.0
2025-05-28 08:00:00,4.499,42981.7
2025-05-28 08:30:00,4.541,85995.8
2025-05-28 09:00:00,4.487,30666.8
2025-05-28 09:30:00,4.486,41261.0
2025-05-28 10:00:00,4.462,100316.0
2025-05-28 10:30:00,4.471,87870.0
2025-05-28 11:00:00,4.468,24986.8
2025-05-28 11:30:00,4.506,66200.8
2025-05-28 12:00:00,4.528,34644.2
2025-05-28 12:30:00,4.504,40971.3
2025-05-28 13:00:00,4.515,28835.2
2025-05-28 13:30:00,4.479,57160.4
2025-05-28 14:00:00,4.455,117139.0
2025-05-28 14:30:00,4.422,43557.8
2025-05-28 15:00:00,4.413,114520.8
2025-05-28 15:30:00,4.404,45303.2
2025-05-28 16:00:00,4.471,42354.1
2025-05-28 16:30:00,4.474,25940.9
2025-05-28 17:00:00,4.504,47126.2
2025-05-28 17:30:00,4.51,38923.2
2025-05-28 18:00:00,4.482,23912.7
2025-05-28 18:30:00,4.473,14311.4
2025-05-28 19:00:00,4.477,23874.5
2025-05-28 19:30:00,4.424,41909.2
2025-05-28 20:00:00,4.446,35993.0
2025-05-28 20:30:00,4.463,21515.4
2025-05-28 21:00:00,4.452,12837.5
2025-05-28 21:30:00,4.477,7592.0
2025-05-28 22:00:00,4.451,11051.3
2025-05-28 22:30:00,4.449,1635.7
